classe; mensagem 
1;se conhecesse não falaria tanta besteira 
2;com certeza vc nunca viu um touro e um cavalo de rodeio de perto,se não jamais falaria as coisas que fala 
2;vc nunca deve ter visto um touro de rodeio de perto,se não jamais falaria as coisa que fala 
3;não conhece,,se conhecesse jamais falaria que touros e cavalos sofrem maus tratos 
3;com a maior certeza do mundo.. vc nunca viu um touro de rodeio de perto. 
3;quando e onde vc viu animais de rodeio de perto. 
3;jamais vc viu uma boiadada de rodeio de perto,se não com certeza falaria as coisa que fala 
3;se vc ver de perto como vive uma boiada de rodeio jamais falara coisas como fala 
3;tenho certerza absoluta que voce nunca viu de perto,, nunca,pois se ja tivesse visto não falaria as besteiras que fala 
3;com certeza voce nunca foi ver de perto como são tratados touros e cavalos de rodeio,,se tivesse visto jamais falaria as coisas que fala 
3;eu realmente nunca fiz laudo porque os maus tratos que vocês dizem já foram comprovado que não existe por isso esse esporte está crescendo a cada dia mais.. e pra quem acha que não.... a pbr foi a maior venda de todos os tempos de todos os esportes... então eu não preciso provar nada. 
3;se vc é vegano entoa com certeza ja comeu muita soja que foi plantada em cima de florestas que viviam animais e foram mortos para vc comer sua soja 
1;vá comer o que vc quiser,,cuide da sua vida,não é vc que vai mudar o mundo 
3;você é burra mesmo??? to achando que sim, você sai si vc quiser, não tem o poder de ti tirar não, sua opinião pra mim não faz diferença nenhuma e nem pro rodeio, você não tem autonomia para mudar nada, si tenho que argumentar, vou argumentar com quem os juízes que pode mudar algo, vocês são uns nada, e são tão bairros que acham que o rodeio vai acabar si vencerem essa votação aqui, como eu ja disse essa votação não tem valor algum, o que vale é a votação do senado, isso é só para ver a opinião do povo. fim 
2;e você ana, acha que os gatos e cachorros querem viver aprisionados dentro de casas e apartamentos??? 
2;quando vc vai vir visitar os animais de rodeio ?? 
3;estamos querendo saber quando vc vai visitar os animais de rodeio ?? 
1;quando vai conhecer os animais de rodeio perto?? 
3;quando vc vira visitar uma fazenda que cria animais de rodeio ?? 
2;quando vc vai conhecer os animais de rodeio de perto ?? 
1;kkkkkkk os únicos que não tem argumentos são vocês, até agora não apresentaram nada de maus tratos... simplesmente são umas marias fofoqueira... vocês são iguais papagaios... só repete coisas que ouve outras pessoas falarem 
2;sai daqui sua hipócrita... quando comecei comentar aqui você falava palavrões com total falta de respeito... e agora que pagar de educada... vai si fizer... vc pode ter apagado os comentários... mas eu não esqueci sua hipócrita 
2;é burra mesmo ou si faz para sobreviver, os seus comentários você apaga à hora que você quiser sua otaria... e ser importante para você... eu tenho o prazer de não ser.... mas para a minha boiada sou importante... senão eles já teriam virado almoço à muito tempo! 
1;eu falo o que eu tenho certeza, si estou falando que apaga eu porque eu já apaguei vários, com vocês fez quando falava palavrões e era mau educada. 
2;os únicos que criam perfis fake aqui são vocês otário... nos temos mais o que fazer.... não somos uns atoa como vocês não... que fica ai entrometendo em coisas que vocês não tem nada a ver e nem vai mudar nada para vocês 
1;cadê o argumentos de vocês??? de maus tratos como vocês fala, até agora só conversa fiada de amarrar o saco do boi.... conversinha de maria fofoqueira que não tem o que fazer... si quer argumentos vem até minha fazenda que lhe mostrarei com maior prazer! 
2;perdemos nao entra no facebook do cap augusto pra vc ver e bosta e voc^^e 
3;rodeio ja ganhou entra no facebook do cap augusto pra vc ver 
3;rodeio,animais saudaveis,com acompanhamento veterinario,100% bons tratos 
1;e qual laudo que vale o seu que não tem conhecimento nenhum?? 
3;quem acha que animais de rodeio são mal tratados,compareçam na maior festa da america latina e comprovem,como vivem e como são tratados.barretos 2015 
3;quem critica não conhece,quem conhece ama. 
3;você conhece o que? o gato, o seu cachorro criado dentro de apartamento, falar nisso os cães e os gatos são prisioneiros de vocês também seus hipócritas, porque eles ficam ai presos dentro de seus apartamentos .. bando de hipócrita 
3;quem é voce para chamar pessoas que não conhecem de bosta,,por acaso ja viu meus cavalos,sabe como eles vivem e como são tratados,como são transportados, e não cuido com seu dinheiro,não vou até sua casa te falar como voce deve viver ou o que deve fazer..bosta com certeza é voce. 
3;e faz tempo minha querida desde 2010 que não tem prova do laço por lá,,mas por decisão da propria comissão..somente ,touros ,cavalos ,3 tambores e tean pening,,animais lindos e super bem tratados,,talvez bem mais do que os seus,,nos apresente os seus e sera um prazer apresentar os nossos para voce,, tenho certeza que verás animais com acompanhamento veterinario,sadios,bem trasportados etc 
3;como voce é tosca,,queremos ver como cuida de seus animais,,ja nos prontificamos a te mostrar os nossos e voce nem da resposta. vamos comparar quem é melhor tratado,os seus devem comer caviar pelo o que voce critica os nossos. 
3;olha quem é vivo sempre aparece e sempre com argumentos espetaculares, ai no próximo argumento você vai dizer que o público diminui, e depois colocar um link de blog sem valor algum para debate.... ou seja sempre sem argumentos, porque argumentos de maus trato você não postou nenhum, é igual maria fofoqueira vê algo ou escuta e sai falando sem saber!! 
3;muitas pessoas ja te convidaram para voce ver como vivem e como são tratados animais de rodeio,mas voce nem resposta da,o que voce gosta é de ficar perturbando quem gosta,,se realmente gosta de animais vá conhecer de perto e tire suas conclusões.pare de falar coisas sem conhecimento de causa, 
3;claro que vc não quer conversa comigo... porque você não tem argumentos... fica falando merda ai... e acha q vai fazer os outros acreditarem... 
3;para quem acha que animais de rodeio ainda são mal tratados os meus tambem estão a disposição para quem quiser conhecer de perto,estarão nas provas dos 3 tambores em barretos de 20 a 30 de agostos sera um prazer apresentá los a voces 
3;para quem ainda acha que animais de rodeio são mal tratados os meus estão a disposição para quem quiser conhecer de perto,como vivem,como são tratados e para onde iriam se não fossem de rodeio. 
3;ninguém é obrigado a gostar,,mas pelo menos respeite quem gosta 
3;para a senhora amanda costa.. uma pessoa que não respeita nem os seres humanos que estão ao seu redor,imagina como deve tratar os animais 
3;valeu capitao augusto seu nome sera lembrado com carinho na maior festa sertaneja da america latina, quem não gosta deveria conhecer de perto como são tratados os animais por lá e ainda ajudar a contribuir com o hospital do cancer de barretos. 
3;antes de dar sua opinião va ver como vivem e como são tratados touros e cavalos de rodeio e para onde iriam se não fossem de rodeio 
3;quem não conhece deveria conhecer,como vivem,como são tratados e para onde iriam se não fossem de rodeio. 
2;quem não conhece deve conhecer como vivem e como são tratados animais de rodeio 
1;antes de criticar devemos conhecer. 
1;tem muita gente que critica sem sequer conhecer de perto 
1;valeu capitão augusto tem muita gente que não gosta,mas tem muita gente que gosta seu nome sera lembrado na segunda maior festa sertaneja do mundo 
1;valeu capitão augusto o povo sertanejo está do seu lado,,quem critica não conhece,quem conhece ama 
1;parabéns capitão augusto o povo sertanejo está do seu lado 
1;"quem critica não conhece,quem conhece 'ama "" "
1;parabéns capitão augusto,tem muita gente que não gosta ,mas tem muita gente que gosta e com certeza seu nome sera lembrado na segunda maior festa sertaneja do mundo.barretos. 
1;parabéns capitão augusto por olhar para o povo sertanejo,tem quem não gosta liga não,,seu nome sera lembrado na maior festa sertaneja da américa latina a semana que vem 
1;realmente ninguém respeita nada nesse pais,quem não gosta deveria ao menos respeitar quem gosta 
1;parabéns capitão augusto 
1;"quem critica não conhece,quem conhece "" ama ""..conheçam antes de criticar "
1;"quem critica não conhece,quem conhece 'ama "".rodeio 10% bons tratos aos animais "
2;coitado de voce seu bababa.se gosta de ajudar va até o sertão nordestino la nessa epoca do ano morrem milhares de animais de fome 
3;vai sonhando. 
2;nossa...acho que o animal que está sendo maltratado aqui é você! ahhahahaah..não sabe discutir, respeitar a opinião dos outros. você pode não concordar, mas deveria, ao menos, respeitar. tenho pena de você, que, sem dúvidas nenhuma, é influenciada pela opinião de outras pessoas e não sabe o que está dizendo. leia a lei do rodeio profissional, se informe e depois com educação, por gentileza, dê sua opinião! abraço 
3;onde é que voce viu um cavalo ou um touro de rodeio serem mal tratados 
2;a unica bosta aqui deve ser voce 
2;a unica bosta por aqui com certeza é voce,,quem voce pensa que é para chamar pessoas de bosta,,alguém aqui come com seu dinheiro,sua babaca 
2;por um acaso eu trato dos meus cavalos com seu dinheiro,,talvez a unica bosta por aqui seja voce 
2;quem é voce para chamar alguém de bosta,,por acaso é voce quem paga nossas contas,,por acaso ja foi visitar de perto como são tratados touros e cavalos de rodeios sua idiota,,se não conhece não julgue sua babaca 
2;por como voce trata as pessoas da para imaginar como deve tratar os animais. 
2;uma pessoa que trata outras por bosta,,deve ajudar quem ? ainda se diz ser protetora de algo. 
2;por mais inteligente que alguém possa ser , se não for humilde,o seu melhor se perde na arrogância.a humildade ainda é a parte mais bela da sabedoria 
2;qual maldade voce viu contra touros e cavalos de rodeio maldade é para onde eles iriam se não fossem de rodeio 
2;meus cavalos devem ser mais bem tratados que seus filhos,,pois da ver como voce trata seres humanos..a unica bosta aqui deve ser voce 
2;talvez meus cavalos devem ser mais bem tratados que as pessoas que te acompanham, no dia dia,, para quem chama pessoas que não conhece de bosta !!!. como deve ser voce ??. uma verdadeira bosta 
2;quanta arrogância e falta de educação,por acaso alguém vive com seu dinheiro. 
2;qual maldade,,por acaso voce ja viu de perto como vivem e como são tratados e sabe para onde iriam se não fossem de rodeio.ahh e a unica bosta por aqui é voce 
2;voce é quem mesmo ? para chamar pessoas de bosta,,comemos com seu dinheiro ?? pedimos ajuda na sua casa ?? 
2;com certeza a unica bosta daqui é voce,uma pessoa que trata seres humanos de bosta imagina como deve tratar seus animais sua bosta !!!!! 
2;quem voce pensa que é para chamar alguém de bosta,,a unica bosta por aqui com certeza só pode ser voce 
2;"quem critica não conhece,quem conhece 'ama"" "
1;parabéns capitão augusto com certeza seu nome sera lembrado com muito carinho na maior festa sertaneja da américa latina. 
1;"valeu capitão augusto,quem critica não conhece.quem conhece 'ama"" "
1;"quem critica não conhece,quem conhece 'ama "" "
1;valeu capitão augusto por lembrar do povo sertanejo desse país. 
1;"quem critica não conhece,quem conhece 'ama"". "
1;valeu capitão augusto seu nome sera lembrado com muito carinho por todo interior do brasil 
1;parabéns capitão augusto e obrigado por lembrar do povo sertanejo desse país,,lembraremos seu nome com muito carinho na segunda maior festa sertaneja do planeta 
1;"quem critica não conhece,quem conhece 'ama"". "
1;parabéns capitão augusto,por olhar para o povo do interior,seu nome sera lembrado com muito carinho na maior festa sertaneja da america latina,barretos 2015 
1;quem critica nao conhece quem conhece ama 
1;"muitas pessoa criticam sem se quer nunca ter visto de perto,como vivem,como são tratados e como trabalham esses animas e para onde eles iriam se não fossem de rodeio,antes de criticar,conheçam,informem se,aprendam ! quem critica não conhece,quem conhece 'ama"" "
1;quem critica não conhece quem conhece ama. 
1;se voce quiser conhecer meus cavalos estão a disposição para voce conhecer quando e a hora que quiser,como vivem como são tratados,e não é voce que vai me dizer se eles são explorados o que voce entende animais para falar isso. 
2;voce é só um mimadinho que não come carne e acha que todo mundo tem que ser como voce,esquece que a soja que voce come foi plantada onde com certeza era floresta e que muitos animais silvestres morreram par essas terras virarem terras de lavouras. 
2; é cada comentário besta.. o rachel lins desmatar para criar gado não tem nada à ver com rodeio não.. quem cria bois de rodeios não precisa de grandes pastagens não! 
2;e o que entende voce de animais para chamar isso de exploração 
2;vai procurar sua turma,mimadinho que fala que todo mundo tem que comer soja,só porque voce só come frutas e vegetais. aprenda que cada um faz e come o que quer,não é voce que dita as regras par o mundo 
2;quem não conhece deveria conhecer de perto,tenho cavalos que fazem prova dos 3 tambores em rodeios,quem quiser conhecer de perto como vivem,como são tratados e como são transportados sera um prazer apresentá los a voces. 
2;"'rodeio"",quem critica não conhece,quem conhece 'ama"" "
1;vai começar a maior festa country da america latina,barretos, quem não conhece deveria conhecer como vivem e como são tratados animais de rodeio,meus cavalos estarão por lá,quem quiser conhecer de perto será um prazer apresentá los a voces. 
1;cultura não é seguir os outros,cada um tem a cultura que foi criado ou a que gosta.devemos respeitar as diferenças pois o mundo é feito de diferenças. 
1;vamos votar sim!!! 
1;vamos moer a turma do contra , tudo vendido.
1;parade elr e procura um macho kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk 
1;essa é a sua cultura,,gostamos de coisas ao vivo e nem por isso falamos que a sua cultura é sem graça.se voce gosta de ler bons livros continue lendo e veja tambem que as didfrenças existem e tem que serem respeitadas. 
3;se voce é tão culta deveria saber conviver com as diferença,,não é porque voce gosta de ler bons livros,bons filmes que todo é obrigado a gostar também, gostamos de coisas ao vivo,festa,musica,baile,, quem te disse que só a musica que voce ouve é a boa.se não gosta respeita,,isso também é cultura,respeitar as diferenças. 
3;se voce se julga tão culta,comece por aceitar as diferenças,ninguém é obrigado a gostar do que voce gosta,,cada um vive e faz o que gosta não vamos na sua casa te falar o que é bom ou ruim. 
3;também leio bons livros,assisto bons filmes e nem por isso preciso parar de me interagir com animais,faço isso desde de criança e vou continuar fazendo,não cuido de meus cavalos com seu dinheiro e nem te devo nada,não é voce que vai definir o que é ou não cultura para mim,se não gosta essa é uma otima oportunidade de respeitar quem gosta o que seria do branco se todo mundo gostasse do preto. 
1;por acaso voce ja foi ver de perto como vivem e como são tratados animais de rodeio,,onde e quando ? 
3;onde é que voce viu um animal de rodeio ser mal tratado,,se viu porque não fez nada,ja existe uma lei desde 2002 que protege eles de maus tratos,sendo assim voce pode denunciar tanto o veterinário responsável pelo evento como o proprietário do animal. 
3;de 20 a 30 de agosto começa o maior rodeio da america latina..quem acha que animais de rodeio são mal tratados é só ir conferir de perto.animais saudaveis e com vida longa 
1;cultura cada um tem a que quer,,o que pode ser cultura para alguns ,não pode ser para outros.devemos respeitar as diferenças. 
2;esta para começar a a maior festa sertaneja da america latina quem acha que animais de rodeio são mal tratados deveria perder um tempinho e conferir de perto,barretos 2015 aproveita e vai no dia 22 pois a renda sera toda voltada para o hospital do cancer de barretos. 
1;cultura ,cada um tem a quer,,quem não gosta deveria ao menos respeitar quem gosta 
3;e onde você viu um rodeio maltratando um animal? e se viu pq nãao denunciou ja que existe uma lei que defende os animais contra maltrato ? 
1;e onde é que voce viu um animal de rodeio ser mal tratado ? 
3;onde e quando e voce viu de perto um animal de rodeio ser mal tratado ?? não fale coisas sem saber,se não gosta respeite quem gosta. 
3;as festas do peão ajudam o hospital do cancer de barretos com cerca de 6 milhoes por ano,e a sua cultura ajuda quem ??,, se não gosta respeite quem gosta não vamos na sua casa de falar o que é o que não é cultura. 
3;e o que é cultura para voce,um menor de 17 anos matar sua familia inteira e sair da cadeia depois de 3 anos com a ficha limpa ? 
3;onde e quando voce viu um animal de rodeio ser mal tratado,em qual rodeio e qual animal voce viu ser mal tratado?? 
3;viva o rodeio 
2;na sua mae eu monto... manda ela ficar de quatro! 
2;so se for na sua,,se não gosta respeita quem é te falou que gostamos das coisas que vc faz 
2;retardada deve ser voce,,quem daqui ja foi na sua casa te falar do que voce deve gostar,não te devemos nada,se não gosta não vá,mas respeite quem gosta. 
2;retardada deve ser voce que não sabe respeitar as pessoas,,quem é voce para chamar alguém de retardado,,o que faz voce para ajudar alguém ou algum animal,,cuide da sua vida,não vamos na sua casa te falar o que é bom ou ruim para sua vida. 
2;talvez a unica retardada aqui é voce,, se não gosta aprenda a repeitar quem gosta ,não te devemos nada e não comemos com seu dinheiro,cada um gosta do que quiser,somos livres,,ninguém vai até voce te dizer o que é cultura ou ignorancia,,cuide da sua vida. 
2;retardada é voce,, se não gosta respeite quem gosta,não vamos na sua casa te falar do que voce tem que gostar,montamos no que queremos,nao fazemos isso com seu dinheiro. 
2;é única retardada aqui é voce,sua sem educação,,se não gosta respeite quem gosta,,ninguém vai na sua casa te falar o que é certo ou errado,e quem é voce para chamar pessoas de retardadas.cuide da sua vida. 
2;retardada deve ser voce,quem voce pensa que é para chamar outras pessoas de retardadas,,sua retardadaaaaaaaaaa 
1;vivaa o rodeioo ! veem ni mim porca veia kkkk 
2;não. a única umundiça aqi é você! 
5;https://www.youtube.com/watch?v=ytnkfstu3ke vai começar o segundo maior rodeio do mundo,quem acha que esses animais sofrem maus tratos é só ir lá e conferir,barretos sp.só vendo com os próprios olhos é que vamos conhecer a realidade. 
1;as portas das fazendas onde se criam animais de rodeio estão sempre abertas,,gostaria de convidar quem não conhece e acha que eles sofrem maus tratos a conhecer, e também ver para onde eles iriam se não fossem de rodeio 
2;senhora ana dos animais gostaríamos muito de ver como voce cuida dos seus animais carentes e também teremos o prazer de te mostrar varios animais de rodeio,como vivem e como são tratados,basta só voce querer e combinamos as visitas. 
2;vamos cuidar cada um de sua vida,,vamos parar de dar palpite nas vidas alheias,cultura cada um tem a quer ou a que foi criado,,ja existe uma lei que protege esses animais de maus tratos desde 2002,,quem realmente gostar de animais vá para o sertão do nordeste lá nesssa época do ano morrem milhares de fome, 
1;está começando a maior festa do peão da américa latina,barretos meu cavalo estará por la fazendo prova,quem quiser ir ver de perto,como vive,como é tratado .como é transportado,sera um prazer mostra-lo para quem não conhece. 
5;https://www.youtube.com/watch?v=ytnkfstu3ke 
1;"rodeio,quem critica não conhece,quem conhece ' ama"" "
2;ja existe uma lei que protege esses animais desde 2002, 
5;https://www.youtube.com/watch?v=ytnkfstu3ke. 
3;e não denunciaram ?? 
3;se voce viu maus tratos é só voce denunciar o veterinário que estava responsável pelo evento. 
1;j existe uma lei que protege esses animais de maus tratos desde 2002,,se voce algum mal trato era denunciar. 
1;voce viu e não fez nada ?? que pena ja existe uma lei desde 2002 para protege-los. 
1;"não sei pra que perco tempo em ver esses links de vocês, rodeio correndo normal... parei de ver quando fala que os animais nos pastos são dóceis, vocês deve achar que um boi é gato do apartamento de vocês... pago a passagem para vocês virem até à minha fazenda ficar de frente com uns meus bois que vocês ""acha"" que são dóceis como o gato de vocês, quero ver vocês ficar cara a cara na fazenda aqui com os bois só para eu ver vocês morrendo atropelados por esses animais que vocês acha que são como os gato de vocês! "
5;https://www.youtube.com/watch?v=ytnkfstu3ke. conheça,,informe-se,aprenda 
5;https://www.youtube.com/watch?v=ytnkfstu3ke vamos conhecer um pouquinho de como vivem e com são tratados esses animais ! 
1;vocês que si diz protetores de animais porque vocês não investiga matadores de cavalos, porque esses matadores sim fazem covardia, cortam as patas dos cavalos vivo para que saía todo o sangue do corpo.... si querem fazer algo... faça algo benéfico.... 
1;está chegando a maior festa sertaneja da américa latina essa é uma otima oportunidade para quem não conhece,conhecer de perto,meus cavalos estarão por lá na prova dos 3 tambores quem quiser conhecer de perto sera um prazer apresentá-los para vocês 
1;as pessoas para darem seus depoimentos deveriam antes conhecer de perto como vivem,como são tratados e para onde iriam esses animais. 
5;https://www.youtube.com/watch?v=ytnkfstu3ke. vamos aprender um pouquinho 
5;https://www.youtube.com/watch?v=ytnkfstu3ke.vamos aprender um pouquinho ! 
1;uma imagem vale mais que mil palavras. https://www.youtube.com/watch?v=ytnkfstu3ke . 
1;como eu ja disse aqui mariana 90% das pessoas que votam não votam por 2 motivos ou é falta de conhecimento ou preconceito com a categoria. 
1;esse eu acho que devem acabar mesmo! esse mês tem barretos vão até la ver como um boi de tropeiro é tratado e tirem suas próprias conclusões . 
1;ja te mandaram cuidar da sua vida 
1;também sou contra vaquejada , estou aqui para defender o rodeio ! 
1;como ja disse va a um rodeio profissional e se ver algum animal sendo maltratado denuncie ao veterinário responsável pelo evento. 
1;rafale tbm sou contra os rodeios clandestinos ou ilegais , agora você me dizer que só o ato de montar em um touro ja é um maltrato pelo visto você não conhece a realidade de uma fazenda, tudo é muito lindo na fazendinha da pepa piga 
1;no rodeio nenhum animal é puxado pela calda,,aprenda informe-se.conheça. 
1;em qual rodeio voce viu um touro ou cavalos ser judiado ?? 
1;vejam como uma verdadeira estrela é tratada https://www.youtube.com/watch?v=ewxnr51hzaq no rodeio nós respeitamos os animais.
1;vá a um rodeio profissional e se ver algum animal sendo maltratado denuncie , existe uma lei em vigor para proteger os animais, não saia por ai destilando ódio sem conhecer ! 
1;e voce sabe me dizer para onde iria esse animal se não fosse para o rodeio ? 
1;e onde é que voce viu um animal de rodeio ser mal tratado,,me diga o lugar e o animal que voce viu ser mal tratado? 
1;você deve ser daquelas que diz que o boi pula por que tem seu saco amarrado, ou seja fala sem conhecer, vá a um rodeio profissional e se ver algum animal sendo maltratado denuncie , existe uma lei em vigor para proteger os animais. 
1;jaqueline pra sua informação rodeio é cultura sim tudo o que vc come, veste, bebe e até fuma vem de um produtor rural. o leite que esta na caixinha tetrapak, o alface do seu mc donalds, o hamburguês.. 
3;#rodeio eu amo eu defendo 
1;pra sua informação rodeio não desrespeita muito menos maltrata sua mal informada . e somos homens com sonhos com espectativas e moral. não sanguinários como você disse. e além do mais esse projeto não é feito para você , vai caça a sua turma . procure projetos em que se identifica . o que não é bom para você pode ser comida na mesa de quem precisa . e oque você sabe de cultura moça ? 
1;ja passou da hora do rodeio ser bem reconhecido no brasil,rodeio e uma tradiçao rodeio ea melhor coisa do mundo sou a favor e sou contra que nao gosta,rodeio er tudo rodeio e uma vida uma lugar aonde ficamos felizes rodeio er tudo....
1;voce deve ser aquelas que acham que o rodeio deve ser proibido pq aperta o saco do boi, argumento de qm não tem a menor ideia do que esta falando 
3;kkkkkk ' uau quanta revolts ! mais isso não vai acontecer mari. sinto desapontala , mais a tendência daqi pra diante é só miora. nois só ta começando , a hora que nois decola vai se só sorriso :@ 
1;isso é o publico pagante de uma noite fraca em barretos 
3;é ou num é dartaaão !!! hauahauhu sabe de nada inocente 
5;https://www.youtube.com/watch?v=ytnkfstu3ke 
1;para os que falam que o boi pula por que foi irritado ou porque esta sendo machucado pelo seden , reparem nessa montada que assim que o peão desce do lombo o boi pala de pular na hora mesmo estando com o seden, isso é condicionamento , treinamento e não maltratos.  por sinal esse animal faleceu hoje estava aposentado e curtindo seus últimos dias no asilo da 3b https://www.youtube.com/watch?v=97ju21xlhdi
5;https://www.youtube.com/watch?v=ytnkfstu3ke está ai uma ótima oportunidade para quem não conhece,conhecer um pouco de como vivem e como são tratados animais de rodeio 
5;https://www.youtube.com/watch?v=ytnkfstu3ke conheçam um pouco de como vivem e como são tratados animais de rodeio 
1;bom dia povo !! vi que os ânimos estavam bem exaltados ontem, que pena que estive ausente. ana dos gato a tendencia é que alguma provas que causam sofrimento seja realmente excluídas e eu acho justo porém as provas que não causam como as montarias não correm nenhum risco. por outro lado esse tipo de pratica(laçar um bezerro de 40 dias e derrubar) vão continuar acontecendo 10,20,30 vezes mais que nos rodeios nas fazenda de manejo de gado, como você acha que um bezerro é pego para curar bixeira. na cabeça de vocês e no desenho da pepa pig tudo é muito lindo, mas a realidade é bem diferente. 
1;esse povo que não sabe como é uma fazenda, deve achar q bois e bezerros são com os os cachorros e gatos que eles criam dentro de apartamento. o pior é falar sem saber, porque eu desconheço prova que usa um animal de 40 dias, deve ser eles ou algum parente deles que não tem astúcia e prática com um animal de 40 dias. 
1;tenho cavalos que fazem prova dos 3 tambores daqui alguns dias estarão na maior festa do peão da américa latina,barretos, quem quiser conferir como vivem e como são tratados é só chegar para conferir de perto será um prazer poder mostrar eles para vocês.nada melhor do que a gente ver com nossos próprios olhos. 
5;https://www.youtube.com/watch?v=ytnkfstu3ke 
1;ter libertdade de expressão não lhe dá o direito de falar coisas sem saber. 
1;"e ana quando você se referiu ao rodeio no seu comentario lá em baixo como ""palhaçada"" você desrespeitou a todos desse mundo. então sra. reveja seus conceitos , não venha querer bancar a boa samaritana aqui não. olhe para seu umbigo antes ok . aaah ,,, está não é sua tribo ! :@ "
1;pode denunciar e si me banir, vou fazer como você, criar vários perfis fakes e ai consequentemente votar várias vezes sim... 
1;hahauahau olha esaa vea como ela é baixa kkk. eu fiquei ausente porquê quis . estava em barretos , e estava acompanhando os comentários sim, mas não quis responder nenhum . e ai ? qual o pro pre ma ana animal. estava com saudades 
1;voce agora ta querendo dar uma de educada... si vc não tiver apagado seus comentários antigo... lá tem um monte de palavrões também... vc é hipócrita em tudo isso sim. 
3;não se faça de coitadinha não,, voce também ofende muito as pessoas,chamando de ignorantes e burras. 
3;tenho alguns cavalos que participam das provas dos 3 tambores quando você quiser conferir de perto como vivem,como são transportados sera um prazer poder te mostrar.estarão daqui alguns dias em barretos,não perca essa oportunidade e venha conhecer de perto,nada melhor do que a gente ver com nosso próprio olho. 
3;hum e ela você não pede para manter o respeito? o errado é só eu ?se vocês visem o tanto de abobrinha que essa mulher fala ai . mais ta ok façam o que quiserem a critério de vcs. :@ e ana para de ser falsa . 
1;"se ""com um chifre enfiado no rabo""você está referindo-se a um dia eu levar um pisão ou uma cabeçada ou algo do tipo , irei morrer com orgulho e feliz por estar fazendo aquilo que amo sua sem vergonha. e você vai morrer sosinha numa cama. num asilo cheia de pêlo de gato no nariz e tomando soro pelas virilhakkkkkkk "
3;voce vive falando o que quer nesse site e fica brava quando te falam coisas que voce não quer,respeite e seras respeitada. 
3;olha a falta de respeito !!!! sem baixaria ! 
3;evitar abandonos, leve os animais para sua casa uai... à você é igual defensor de presidiário, defende mas não leva um sequer para dentro de casa. hipócritas 
3;que ótimo, também irei sitar seu comportamento para a dra. kkkkk para de ser mesquinha veia. e você acha quê me ofende me chamando de caipira? para mim é uma honra ter esse tipo de reconhecimento. e ana animal . você é uma charlatona caduca kkkk e fake também pelo jeito? heueheu potaqeupariu .pede pra sair vea . quem está com medo , com raiva , e fraca na causa é você sra. controlesse bruxa do 71. i'll be back hasta la vista baby 
3;debater . mais não com você ! você é chacota ana. só dá você aqui falando suas abobrinhas ana. me poupe porr* oque você ganha com isso destilando seu veneno ? não depende dessa votação para que esse projeto venha ser lei federal, e você sabe disso. não perca seu tempo essa não é sua tribo. :@ 
1;cai fora veia safada, você castra cães sua maldita. quem é voce pra falar de mals tratos ou algo do tipo? a única palhaça aqi é vce. diz ser defensora e protetora dos animais e faz propaganda de castração grátis kkkkk na boua veia , voce já moreeu fais tempo e esqeceu de cai kkkkk 
3;na verdade não sabemos o que é esse ser ainda é acho q ela é o girafales são os mesmo porque os dois nunca estão aqui ao mesmo tempo, cada hora é um que fica falando abobrinha, olha ai pra vc ver os defesonres de animais, um castra cães o outro pratica pesca esportiva, si coisa do agrado deles ai já não configura maus tratos... são um bando de hipócritas mesmo! 
3;animais com 40 dias? só si for nas provas que você realiza, porque as que realizamos colocamos animais bem mais velhos até mesmo para dar dificuldade ao competidor, ja falei parem de falar bobeira, essa de bezerro de 40 dias é o mesmo que falar que amarra os testículo do boi.. 
3;o ana tem outra coisa, você deveria ir nas fazendas de leite onde os bezerros recém nascidos são abatidos e vira presunto depois, vai nas fazendas de leite salvar esses recém nascidos. 
3;vaai durmi vea sem vergonha , kkkkk 
3;a única pessoa que denuncia é você que não tem argumentos contra nossos fatos, e si preocupa não si me banirem eu crio um monte de perfis fakes como você! é vou fazer uns 5 mil de uma vez 
3;medo dos seus argumentos?? kkkkkkkkk essa foi boa vou rir até 2020, vocês não tem argumentos por que vocês nem sabe o que é um boi, apenas fala abobrinhas que virão outros babacas falando e saem falando depois também, o dia que vocês postar algo verdadeiro sem ser essas conversas fiadas que todo babaca fica falando, ai talvez eu possa ficar com medo.... até agora vocês não teve nenhum argumento. 
3;claro que minha opinião não lhe interessa, porque você só fala um monte de merda que o povo sabe que não tem nada à ver, ai eu falo verdades e você fica sem argumentos, e outra coisa comento onde eu quiser! 
5;https://www.youtube.com/watch?v=ytnkfstu3ke quem não conhece deveria perder um tempinho e conhecer de perto como vivem,como são tratados e para onde eles iriam se não fossem de rodeio. 
1;falta de intelectualidade tem voce de falar coisas em saber,esses animais seriam abatidos se não fossem de rodeio,não são como animais selvagens ,que estariam em alguma selva,,se voce se julga tão inteligente perca um pouco de seu tempo e aprenda como vivem e como são tratados esse animais,e se voce não gosta procure respeitar quem gosta. 
5;https://www.youtube.com/watch?v=ytnkfstu3ke 
5;https://www.youtube.com/watch?v=ytnkfstu3ke 
5;https://www.youtube.com/watch?v=ytnkfstu3ke quemn ão conhece critica quem conhece ama. 
5;https://www.youtube.com/watch?v=ytnkfstu3ke 
1;com certeza voce esta mentindo qual rodeio voce foi e qual animal voce viu ser mal tratado ?? 
