;Classificação Vinicius;Classificação Higor;Comentario
;3;4;Um conselho para aqueles que dizem que é golpe o governo atual, ano que vem quando for votar preste atenção em quem será o vice do candidato escolhido, sei que não será tarefa fácil votar mas vale ressaltar esse detalhe!
;3;4;PERFEITO!!! TODO DETALHE DEVE SER OBSERVADO DAQUI PRA FRENTE QUANDO VOTARMOS!!! PRECISAMOS APRENDER DE UMA VEZ POR TODAS A NÃO CONFIARMOS NUNCA MAIS EM CANALHAS!!!
;1;4;Igor Gomes voce lembra o nome do vice prefeito que voce votou na ultima eleição?
;1;4;Eu acho que essa P.F já esta passando dos limites!! Junto com essa PGR, o cara ja vai sair em 2018 jah..! Na minha visão ele esta fazendo um excelente trabalho, ta certo que temos que combater a corrupção mais tem que ser respeitado o direito de defesa dos investigados.
;2;4;Até o final de 2018 já não tem mais nada pra ele roubar, operação alguma para parar e direito algum pra tirar, tudo já vai ter ido de ralo,  e os ricos vão estar cada vez mais ricos, um excelente trabalho, missão cumprida. Troféu Joinha pra você.
;4;4;O sobrenome já é indicativo de algo...
;2;2;Os políticos adoram quando nós dividimos em mortadelas e coxinhas pois um povo dividido é mais fácil de corromper . A verdade é que o sistema não funciona. Precisamos do fim do foro privilegiado. Licitações limpas. E campanhas justas com homens honestos que queiram sim o salário e as mordomias mas também trabalhar para melhorar a vida de todos. 
;4;5;Falou tudo Ricardo.
;1;1;Fica temer
;2;5;Fica na cadeia 
;2;5;Fica na Cadeia
;2;4;Falta de carater na Politica, falta moralidade, falta transparencia, comprometimento com o povo, falta trabalho, falta L u l @ !!! Somos Brasil e estamos junto com o Pai dos Pobres em 2018, pro Brasil voltar aos trilhos do crescimento e distribuição de renda !!! Lamentavel...
;4;5;nhonho  peteba  
;3;5;Angelo, quanto que estão te pagando para fazer esses comentários esdrúxulos?
;3;4;FUI FAZER A REINTEGRAÇÃO DE POSSE JUDICIAL DE UMA CASA ANTIGA PARA DEMOLIÇÃO E CONSTRUÇÃO DE PRÉDIO DE APARTAMENTOS, HAVIA SOFRIDO INVASÃO DA PETEZADA MORTA DE FOME... FORAM 03 ANOS PARA TIRAR OS PARASITAS QUE DEIXARAM NO LOCAL UM CAMINHÃO DE GARRAFAS VAZIAS DE CERVEJAS... PARA SE ENTUBAR DE CERVEJA ELES TÊM DINHEIRO, MAS PARA CONSTRUIR UM BARRACO NA PERIFERIA NÃO... SAÍRAM DE LÁ COM UMA MÃO NA FRENTE E OUTRA ATRÁS
;2;2;É vero. O P.T e seus discípulos são o câncer do Brasil.
;2;5;Renata Maia procure carinho no terminal inferior do seu tubo digestivo... É o que você precisa
;1;4;É uma vergonha a policia federal interrogar um Presidente da Republica, esse ministro tem alguma coisa contra o Temer. Quando os Petralhas estavam roubando com a sua quadrilha no governo nenhum ministro autorizava isso, por que será?
;2;2;Idiota!!!
